"Question","Breakdown1","Breakdown1Code","Breakdown2","Breakdown2Code","value"
"OAPs active at period end","England","","","","528"
"OAPs active at period end","BedType","England","","","528"
"OAPs active at period end","BedType","10","","","358"
"OAPs active at period end","BedType","11","","","45"
"OAPs active at period end","BedType","12","","","125"
"OAPs active at period end","Ccg","England","","","528"
"OAPs active at period end","Ccg","00C","","","5"
"OAPs active at period end","Ccg","00D","","","10"
"OAPs active at period end","Ccg","00J","","","*"
"OAPs active at period end","Ccg","00K","","","5"
"OAPs active at period end","Ccg","00L","","","*"
"OAPs active at period end","Ccg","00M","","","5"
"OAPs active at period end","Ccg","00N","","","*"
"OAPs active at period end","Ccg","00P","","","*"
"OAPs active at period end","Ccg","00Q","","","5"
"OAPs active at period end","Ccg","00R","","","*"
"OAPs active at period end","Ccg","00T","","","*"
"OAPs active at period end","Ccg","00V","","","*"
"OAPs active at period end","Ccg","00W","","","10"
"OAPs active at period end","Ccg","00X","","","*"
"OAPs active at period end","Ccg","00Y","","","*"
"OAPs active at period end","Ccg","01A","","","10"
"OAPs active at period end","Ccg","01C","","","*"
"OAPs active at period end","Ccg","01D","","","*"
"OAPs active at period end","Ccg","01E","","","*"
"OAPs active at period end","Ccg","01F","","","*"
"OAPs active at period end","Ccg","01G","","","*"
"OAPs active at period end","Ccg","01H","","","*"
"OAPs active at period end","Ccg","01J","","","*"
"OAPs active at period end","Ccg","01K","","","*"
"OAPs active at period end","Ccg","01M","","","10"
"OAPs active at period end","Ccg","01N","","","10"
"OAPs active at period end","Ccg","01R","","","*"
"OAPs active at period end","Ccg","01T","","","*"
"OAPs active at period end","Ccg","01V","","","*"
"OAPs active at period end","Ccg","01W","","","*"
"OAPs active at period end","Ccg","01X","","","*"
"OAPs active at period end","Ccg","01Y","","","*"
"OAPs active at period end","Ccg","02A","","","*"
"OAPs active at period end","Ccg","02D","","","*"
"OAPs active at period end","Ccg","02E","","","*"
"OAPs active at period end","Ccg","02F","","","*"
"OAPs active at period end","Ccg","02G","","","*"
"OAPs active at period end","Ccg","02H","","","*"
"OAPs active at period end","Ccg","02M","","","*"
"OAPs active at period end","Ccg","02N","","","*"
"OAPs active at period end","Ccg","02P","","","*"
"OAPs active at period end","Ccg","02Q","","","*"
"OAPs active at period end","Ccg","02R","","","*"
"OAPs active at period end","Ccg","02T","","","*"
"OAPs active at period end","Ccg","02V","","","*"
"OAPs active at period end","Ccg","02W","","","*"
"OAPs active at period end","Ccg","02X","","","*"
"OAPs active at period end","Ccg","02Y","","","*"
"OAPs active at period end","Ccg","03A","","","5"
"OAPs active at period end","Ccg","03C","","","*"
"OAPs active at period end","Ccg","03D","","","10"
"OAPs active at period end","Ccg","03E","","","10"
"OAPs active at period end","Ccg","03F","","","*"
"OAPs active at period end","Ccg","03G","","","*"
"OAPs active at period end","Ccg","03H","","","*"
"OAPs active at period end","Ccg","03J","","","*"
"OAPs active at period end","Ccg","03K","","","*"
"OAPs active at period end","Ccg","03L","","","*"
"OAPs active at period end","Ccg","03M","","","5"
"OAPs active at period end","Ccg","03N","","","*"
"OAPs active at period end","Ccg","03Q","","","30"
"OAPs active at period end","Ccg","03R","","","15"
"OAPs active at period end","Ccg","03T","","","*"
"OAPs active at period end","Ccg","03V","","","*"
"OAPs active at period end","Ccg","03W","","","*"
"OAPs active at period end","Ccg","03X","","","*"
"OAPs active at period end","Ccg","03Y","","","*"
"OAPs active at period end","Ccg","04C","","","*"
"OAPs active at period end","Ccg","04D","","","*"
"OAPs active at period end","Ccg","04E","","","*"
"OAPs active at period end","Ccg","04F","","","*"
"OAPs active at period end","Ccg","04G","","","*"
"OAPs active at period end","Ccg","04H","","","*"
"OAPs active at period end","Ccg","04J","","","*"
"OAPs active at period end","Ccg","04K","","","20"
"OAPs active at period end","Ccg","04L","","","*"
"OAPs active at period end","Ccg","04M","","","*"
"OAPs active at period end","Ccg","04N","","","*"
"OAPs active at period end","Ccg","04Q","","","*"
"OAPs active at period end","Ccg","04R","","","5"
"OAPs active at period end","Ccg","04V","","","*"
"OAPs active at period end","Ccg","04X","","","*"
"OAPs active at period end","Ccg","04Y","","","*"
"OAPs active at period end","Ccg","05A","","","*"
"OAPs active at period end","Ccg","05C","","","*"
"OAPs active at period end","Ccg","05D","","","*"
"OAPs active at period end","Ccg","05F","","","*"
"OAPs active at period end","Ccg","05G","","","*"
"OAPs active at period end","Ccg","05H","","","*"
"OAPs active at period end","Ccg","05J","","","*"
"OAPs active at period end","Ccg","05L","","","*"
"OAPs active at period end","Ccg","05N","","","*"
"OAPs active at period end","Ccg","05P","","","*"
"OAPs active at period end","Ccg","05Q","","","*"
"OAPs active at period end","Ccg","05R","","","*"
"OAPs active at period end","Ccg","05T","","","*"
"OAPs active at period end","Ccg","05V","","","*"
"OAPs active at period end","Ccg","05W","","","*"
"OAPs active at period end","Ccg","05X","","","*"
"OAPs active at period end","Ccg","05Y","","","*"
"OAPs active at period end","Ccg","06A","","","*"
"OAPs active at period end","Ccg","06D","","","*"
"OAPs active at period end","Ccg","06F","","","*"
"OAPs active at period end","Ccg","06H","","","*"
"OAPs active at period end","Ccg","06K","","","*"
"OAPs active at period end","Ccg","06L","","","*"
"OAPs active at period end","Ccg","06M","","","*"
"OAPs active at period end","Ccg","06N","","","*"
"OAPs active at period end","Ccg","06P","","","*"
"OAPs active at period end","Ccg","06Q","","","5"
"OAPs active at period end","Ccg","06T","","","5"
"OAPs active at period end","Ccg","06V","","","*"
"OAPs active at period end","Ccg","06W","","","10"
"OAPs active at period end","Ccg","06Y","","","5"
"OAPs active at period end","Ccg","07G","","","*"
"OAPs active at period end","Ccg","07H","","","*"
"OAPs active at period end","Ccg","07J","","","*"
"OAPs active at period end","Ccg","07K","","","*"
"OAPs active at period end","Ccg","07L","","","*"
"OAPs active at period end","Ccg","07M","","","*"
"OAPs active at period end","Ccg","07N","","","5"
"OAPs active at period end","Ccg","07P","","","*"
"OAPs active at period end","Ccg","07Q","","","5"
"OAPs active at period end","Ccg","07R","","","*"
"OAPs active at period end","Ccg","07T","","","*"
"OAPs active at period end","Ccg","07V","","","10"
"OAPs active at period end","Ccg","07W","","","*"
"OAPs active at period end","Ccg","07X","","","*"
"OAPs active at period end","Ccg","07Y","","","*"
"OAPs active at period end","Ccg","08A","","","15"
"OAPs active at period end","Ccg","08C","","","*"
"OAPs active at period end","Ccg","08D","","","*"
"OAPs active at period end","Ccg","08E","","","*"
"OAPs active at period end","Ccg","08F","","","*"
"OAPs active at period end","Ccg","08G","","","*"
"OAPs active at period end","Ccg","08H","","","*"
"OAPs active at period end","Ccg","08J","","","*"
"OAPs active at period end","Ccg","08K","","","5"
"OAPs active at period end","Ccg","08L","","","*"
"OAPs active at period end","Ccg","08M","","","*"
"OAPs active at period end","Ccg","08N","","","*"
"OAPs active at period end","Ccg","08P","","","*"
"OAPs active at period end","Ccg","08Q","","","*"
"OAPs active at period end","Ccg","08R","","","*"
"OAPs active at period end","Ccg","08T","","","*"
"OAPs active at period end","Ccg","08V","","","*"
"OAPs active at period end","Ccg","08W","","","*"
"OAPs active at period end","Ccg","08X","","","*"
"OAPs active at period end","Ccg","08Y","","","*"
"OAPs active at period end","Ccg","09A","","","*"
"OAPs active at period end","Ccg","09C","","","*"
"OAPs active at period end","Ccg","09D","","","5"
"OAPs active at period end","Ccg","09E","","","*"
"OAPs active at period end","Ccg","09F","","","*"
"OAPs active at period end","Ccg","09G","","","*"
"OAPs active at period end","Ccg","09H","","","*"
